记录编号,日期,支出内容,支出金额,主类别,支出性质,必要程度,分析口径,税费类型,备注
支出-0001,2026-01-01,房租,3000,住房,固定,必要,个人支出,免税,示例：1月总支出约5000，房租占60%
支出-0002,2026-01-03,超市基础食品：鸡蛋、蔬菜、牛奶,450,餐饮,可变,必要,个人支出,零税率,基础食品通常按零税率演示
支出-0003,2026-01-05,餐厅外食,320,餐饮,可变,弹性,个人支出,应税,餐厅和外卖通常应税
支出-0004,2026-01-07,加油,220,交通,可变,必要,个人支出,应税,交通相关应税示例
支出-0005,2026-01-08,手机通讯费,60,通讯,固定,必要,个人支出,应税,
支出-0006,2026-01-09,云服务订阅,30,订阅,固定,弹性,个人支出,应税,
支出-0007,2026-01-10,衣物与日用品购物,250,购物,可变,弹性,个人支出,应税,
支出-0008,2026-01-12,药品和医疗用品,80,医疗,可变,必要,个人支出,免税,仅作模板示例，实际以收据为准
支出-0009,2026-01-15,健身房月费,70,运动,固定,弹性,个人支出,应税,
支出-0010,2026-01-16,课程与书籍,120,学习,一次性,弹性,个人支出,含税不明,学习类税费取决于具体项目
支出-0011,2026-01-18,宠物食品和用品,90,宠物,可变,弹性,个人支出,应税,
支出-0012,2026-01-20,电影和游戏娱乐,100,娱乐,可变,弹性,个人支出,应税,
支出-0013,2026-01-25,政府费用,100,税费,一次性,必要,个人支出,不适用,政府收费不纳入消费税估算
支出-0014,2026-01-28,其他杂项,110,其他,可变,弹性,个人支出,含税不明,
支出-0015,2026-02-01,房租,3000,住房,固定,必要,个人支出,免税,示例：2月有一定波动
支出-0016,2026-02-03,超市基础食品：水果、蔬菜、面包,520,餐饮,可变,必要,个人支出,零税率,
支出-0017,2026-02-05,餐厅聚餐,350,餐饮,可变,弹性,个人支出,应税,
支出-0018,2026-02-06,车辆加油与停车,260,交通,可变,必要,个人支出,应税,
支出-0019,2026-02-08,手机通讯费,60,通讯,固定,必要,个人支出,应税,
支出-0020,2026-02-10,软件订阅,45,订阅,固定,弹性,个人支出,应税,
支出-0021,2026-02-11,衣物购物,300,购物,可变,弹性,个人支出,应税,
支出-0022,2026-02-13,医疗用品,100,医疗,可变,必要,个人支出,免税,
支出-0023,2026-02-15,健身房月费,70,运动,固定,弹性,个人支出,应税,
支出-0024,2026-02-17,线上课程,140,学习,一次性,弹性,个人支出,含税不明,
支出-0025,2026-02-19,宠物用品,100,宠物,可变,弹性,个人支出,应税,
支出-0026,2026-02-21,娱乐活动,120,娱乐,可变,弹性,个人支出,应税,
支出-0027,2026-02-23,政府费用,150,税费,一次性,必要,个人支出,不适用,
支出-0028,2026-02-26,其他杂项,85,其他,可变,弹性,个人支出,含税不明,
